horse_id,地区目录,当前显示名,中文名,英文名,原名,基础能力,巅峰能力,入库比赛数,来源文件,中文来源,英文来源,核对备注
affirmed,America,Able Friend,步步友,Able Friend,Able Friend,84,87,4,js/data/historical-horses/Others/able-friend.js,自译待核对,现有英文显示名,
alydar,America,Ace Impact,顶级冲力,Ace Impact,Ace Impact,87,89,2,js/data/historical-horses/Europe/ace-impact.js,自译待核对,现有英文显示名,
american-pharoah,America,Admire Groove,爱慕织姬,Admire Groove,アドマイヤグルーヴ,77,79,3,js/data/historical-horses/Japan/admire-groove.js,自译待核对,现有英文显示名,
arrogate,America,Admire Mars,颂赞火星,Admire Mars,アドマイヤマーズ,80,82,4,js/data/historical-horses/Japan/admire-mars.js,自译待核对,现有英文显示名,
azeri,America,Advertise,广告,Advertise,Advertise,81,83,3,js/data/historical-horses/Europe/advertise.js,自译待核对,现有英文显示名,
beholder,America,Affirmed,誓言,Affirmed,Affirmed,93,95,4,js/data/historical-horses/America/affirmed.js,自译待核对,现有英文显示名,
bricks-and-mortar,America,Agnes Digital,爱丽数码,Agnes Digital,アグネスデジタル,80,82,9,js/data/historical-horses/Japan/agnes-digital.js,自译待核对,现有英文显示名,
buckpasser,America,Air Groove,气槽,Air Groove,??????,81,83,6,js/data/historical-horses/Japan/air-groove.js,自译待核对,现有英文显示名,
cigar,America,Almond Eye,杏目,Almond Eye,アーモンドアイ,85,87,10,js/data/historical-horses/Japan/almond-eye.js,自译待核对,现有英文显示名,
citation,America,Alpha Centauri,南门二,Alpha Centauri,Alpha Centauri,83,85,2,js/data/historical-horses/Europe/alpha-centauri.js,自译待核对,现有英文显示名,
codys-wish,America,Alpinista,登山家,Alpinista,Alpinista,83,85,6,js/data/historical-horses/Europe/alpinista.js,自译待核对,现有英文显示名,
elite-power,America,阿利达,阿利达,Alydar,Alydar,87,89,2,js/data/historical-horses/America/alydar.js,现有中文,原名英文,
