race_id,原名,中文名,英文名,当前显示名,原名语言,等级,赛事类别,地区,场地,赛场,距离,月份,半月,年龄条件,性别限定,原名来源,中文来源,核对备注
himawari-sho,ひまわり賞,向日葵赏,Himawari Sho,ひまわり賞,日语,OP,op,日本,草地,小仓,1200,8,2,2岁,,现有数据：日文原名,自译待核对,
ivy-stakes,アイビーS,常春藤锦标,Ivy Stakes,アイビーS,日语,L,op,日本,草地,东京,1800,10,2,2岁,,现有数据：日文原名,自译待核对,
hagi-stakes,萩S,萩锦标,Hagi Stakes,萩S,日语,L,op,日本,草地,京都,1800,10,2,2岁,,现有数据：日文原名,自动规范化待核对,
cattleya-stakes,カトレアS,卡特兰锦标,Cattleya Stakes,カトレアS,日语,OP,op,日本,泥地,东京,1600,11,2,2岁,,现有数据：日文原名,自译待核对,
junior-cup,ジュニアC,少年杯,Junior Cup,ジュニアC,日语,L,op,日本,草地,中山,1600,1,1,3岁,,现有数据：日文原名,自译待核对,
kobai-stakes,紅梅S,红梅锦标,Kobai Stakes,紅梅S,日语,L,op,日本,草地,京都,1400,1,2,3岁,牝马,现有数据：日文原名,自动规范化待核对,
wakagoma-stakes,若駒S,若驹锦标,Wakagoma Stakes,若駒S,日语,L,op,日本,草地,京都,2000,1,2,3岁,,现有数据：日文原名,自动规范化待核对,
crocuss-stakes,クロッカスS,番红花锦标,Crocuss Stakes,クロッカスS,日语,L,op,日本,草地,东京,1400,1,2,3岁,,现有数据：日文原名,自译待核对,
elfin-stakes,エルフィンS,妖精锦标,Elfin Stakes,エルフィンS,日语,L,op,日本,草地,京都,1600,2,1,3岁,牝马,现有数据：日文原名,自译待核对,
hyacinth-stakes,ヒヤシンスS,风信子锦标,Hyacinth Stakes,ヒヤシンスS,日语,L,op,日本,泥地,东京,1600,2,2,3岁,,现有数据：日文原名,自译待核对,
sumire-stakes,すみれS,紫罗兰锦标,Sumire Stakes,すみれS,日语,L,op,日本,草地,阪神,2200,2,2,3岁,,现有数据：日文原名,自译待核对,
marguerite-stakes,マーガレットS,雏菊锦标,Marguerite Stakes,マーガレットS,日语,L,op,日本,草地,阪神,1200,2,2,3岁,,现有数据：日文原名,自译待核对,
anemone-stakes,アネモネS,银莲花锦标,Anemone Stakes,アネモネS,日语,L,op,日本,草地,中山,1600,3,1,3岁,牝马,现有数据：日文原名,自译待核对,
wakaba-stakes,若葉S,若叶锦标,Wakaba Stakes,若葉S,日语,L,op,日本,草地,阪神,2000,3,2,3岁,,现有数据：日文原名,自动规范化待核对,
fukuryu-stakes,伏竜S,伏龙锦标,Fukuryu Stakes,伏竜S,日语,OP,op,日本,泥地,中山,1800,3,2,3岁,,现有数据：日文原名,自动规范化待核对,
shoryu-stakes,昇竜S,昇龙锦标,Shoryu Stakes,昇竜S,日语,OP,op,日本,泥地,中京,1400,3,2,3岁,,现有数据：日文原名,自动规范化待核对,
wasurenagusa-sho,忘れな草賞,勿忘草赏,Wasurenagusa Sho,忘れな草賞,日语,L,op,日本,草地,阪神,2000,4,1,3岁,牝马,现有数据：日文原名,自译待核对,
violet-stakes,バイオレットS,紫罗兰锦标,Violet Stakes,バイオレットS,日语,OP,op,日本,泥地,阪神,1400,4,2,3岁,,现有数据：日文原名,自译待核对,
principal-stakes,プリンシパルS,首席锦标,Principal Stakes,プリンシパルS,日语,L,op,日本,草地,东京,2000,5,1,3岁,,现有数据：日文原名,自译待核对,
tachibana-stakes,橘S,橘锦标,Tachibana Stakes,橘S,日语,L,op,日本,草地,京都,1400,5,1,3岁,,现有数据：日文原名,自动规范化待核对,
hosu-stakes,鳳雛S,鳳雛锦标,Hosu Stakes,鳳雛S,日语,L,op,日本,泥地,京都,1800,5,2,3岁,,现有数据：日文原名,自动规范化待核对,
shirayuri-stakes,白百合S,白百合锦标,Shirayuri Stakes,白百合S,日语,L,op,日本,草地,京都,1800,5,2,3岁,,现有数据：日文原名,自动规范化待核对,
seiryu-stakes,青竜S,青龙锦标,Seiryu Stakes,青竜S,日语,OP,op,日本,泥地,东京,1600,5,2,3岁,,现有数据：日文原名,自动规范化待核对,
paradise-stakes,パラダイスS,天堂锦标,Paradise Stakes,パラダイスS,日语,L,op,日本,草地,东京,1400,6,2,3岁以上,,现有数据：日文原名,自译待核对,
sannomiya-stakes,三宮S,三宮锦标,Sannomiya Stakes,三宮S,日语,OP,op,日本,泥地,阪神,1800,6,2,3岁以上,,现有数据：日文原名,自动规范化待核对,
sleipnir-stakes,スレイプニルS,斯莱普尼尔锦标,Sleipnir Stakes,スレイプニルS,日语,OP,op,日本,泥地,东京,2100,6,2,3岁以上,,现有数据：日文原名,自译待核对,
sapporo-nikkei-open,札幌日経OP,札幌日経公开赛,Sapporo Nikkei Open,札幌日経OP,日语,L,op,日本,草地,札幌,2600,7,2,3岁以上,,现有数据：日文原名,自动规范化待核对,
port-island-stakes,ポートアイランドS,港岛锦标,Port Island Stakes,ポートアイランドS,日语,L,op,日本,草地,阪神,1600,10,1,3岁以上,,现有数据：日文原名,自译待核对,
opal-stakes,オパールS,蛋白石锦标,Opal Stakes,オパールS,日语,L,op,日本,草地,京都,1200,10,1,3岁以上,,现有数据：日文原名,自译待核对,
green-channel-cup,グリーンチャンネルC,绿色频道杯,Green Channel Cup,グリーンチャンネルC,日语,L,op,日本,泥地,东京,1400,10,1,3岁以上,,现有数据：日文原名,自译待核对,
october-stakes,オクトーバーS,十月锦标,October Stakes,オクトーバーS,日语,L,op,日本,草地,东京,2000,10,2,3岁以上,,现有数据：日文原名,自译待核对,
shinetsu-stakes,信越S,信越锦标,Shinetsu Stakes,信越S,日语,L,op,日本,草地,新潟,1400,10,2,3岁以上,,现有数据：日文原名,自动规范化待核对,
lumiere-autumn-dash,ルミエールAD,光明秋季短途赛,Lumiere Autumn Dash,ルミエールAD,日语,L,op,日本,草地,新潟,1000,10,2,3岁以上,,现有数据：日文原名,自译待核对,
brazil-cup,ブラジルC,巴西杯,Brazil Cup,ブラジルC,日语,L,op,日本,泥地,东京,2100,10,2,3岁以上,,现有数据：日文原名,自译待核对,
capital-stakes,キャピタルS,首都锦标,Capital Stakes,キャピタルS,日语,L,op,日本,草地,东京,1600,11,2,3岁以上,,现有数据：日文原名,自译待核对,
december-stakes,ディセンバーS,十二月锦标,December Stakes,ディセンバーS,日语,L,op,日本,草地,中山,1800,12,2,3岁以上,,现有数据：日文原名,自译待核对,
new-year-stakes,ニューイヤーS,新年锦标,New Year Stakes,ニューイヤーS,日语,L,op,日本,草地,中山,1600,1,1,4岁以上,,现有数据：日文原名,自译待核对,
yodo-tankyori-stakes,淀短距離S,淀短距离锦标,Yodo Tankyori Stakes,淀短距離S,日语,L,op,日本,草地,京都,1200,1,1,4岁以上,,现有数据：日文原名,自动规范化待核对,
subaru-stakes,すばるS,昴星锦标,Subaru Stakes,すばるS,日语,L,op,日本,泥地,京都,1400,1,1,4岁以上,,现有数据：日文原名,自译待核对,
shirafuji-stakes,白富士S,白富士锦标,Shirafuji Stakes,白富士S,日语,L,op,日本,草地,东京,2000,1,2,4岁以上,,现有数据：日文原名,自动规范化待核对,
manyo-stakes,万葉S,万叶锦标,Manyo Stakes,万葉S,日语,OP,op,日本,草地,京都,3000,1,1,4岁以上,,现有数据：日文原名,自动规范化待核对,
january-stakes,ジャニュアリーS,一月锦标,January Stakes,ジャニュアリーS,日语,OP,op,日本,泥地,中山,1200,1,1,4岁以上,,现有数据：日文原名,自译待核对,
rakuyo-stakes,洛陽S,洛陽锦标,Rakuyo Stakes,洛陽S,日语,L,op,日本,草地,京都,1600,2,1,4岁以上,,现有数据：日文原名,自动规范化待核对,
nigawa-stakes,仁川S,仁川锦标,Nigawa Stakes,仁川S,日语,L,op,日本,泥地,阪神,2000,2,2,4岁以上,,现有数据：日文原名,自动规范化待核对,
aldebaran-stakes,アルデバランS,毕宿五锦标,Aldebaran Stakes,アルデバランS,日语,OP,op,日本,泥地,京都,1900,2,1,4岁以上,,现有数据：日文原名,自译待核对,
osaka-jo-stakes,大阪城S,大阪城锦标,Osaka Jo Stakes,大阪城S,日语,L,op,日本,草地,阪神,1800,3,1,4岁以上,,现有数据：日文原名,自动规范化待核对,
coral-stakes,コーラルS,珊瑚锦标,Coral Stakes,コーラルS,日语,L,op,日本,泥地,阪神,1400,3,2,4岁以上,,现有数据：日文原名,自译待核对,
rokko-stakes,六甲S,六甲锦标,Rokko Stakes,六甲S,日语,L,op,日本,草地,阪神,1600,3,2,4岁以上,,现有数据：日文原名,自动规范化待核对,
shunrai-stakes,春雷S,春雷锦标,Shunrai Stakes,春雷S,日语,L,op,日本,草地,中山,1200,4,1,4岁以上,,现有数据：日文原名,自动规范化待核对,
fukushima-minpo-cup,福島民報杯,福島民報杯,Fukushima Minpo Cup,福島民報杯,日语,L,op,日本,草地,福岛,2000,4,1,4岁以上,,现有数据：日文原名,现有中文,
keiyo-stakes,京葉S,京叶锦标,Keiyo Stakes,京葉S,日语,L,op,日本,泥地,中山,1200,4,1,4岁以上,,现有数据：日文原名,自动规范化待核对,
oasis-stakes,オアシスS,绿洲锦标,Oasis Stakes,オアシスS,日语,L,op,日本,泥地,东京,1600,4,2,4岁以上,,现有数据：日文原名,自译待核对,
brilliant-stakes,ブリリアントS,辉煌锦标,Brilliant Stakes,ブリリアントS,日语,L,op,日本,泥地,东京,2100,5,1,4岁以上,,现有数据：日文原名,自译待核对,
metropolitan-stakes,メトロポリタンS,大都会锦标,Metropolitan Stakes,メトロポリタンS,日语,L,op,日本,草地,东京,2400,5,1,4岁以上,,现有数据：日文原名,自译待核对,
ritto-stakes,栗東S,栗東锦标,Ritto Stakes,栗東S,日语,L,op,日本,泥地,京都,1400,5,1,4岁以上,,现有数据：日文原名,自动规范化待核对,
miyakooji-stakes,都大路S,都大路锦标,Miyakooji Stakes,都大路S,日语,L,op,日本,草地,京都,1800,5,1,4岁以上,,现有数据：日文原名,自动规范化待核对,
nikkei-shinshun-hai,日経新春杯,日经新春杯,Nikkei Shinshun Hai,日经新春杯,日语,G2,g2,日本,草地,京都,2400,1,2,4岁以上,,资料补充：日本赛事原名,现有中文,
american-jockey-club-cup,アメリカジョッキークラブカップ,美国JCC,American Jockey Club Cup,美国JCC,日语,G2,g2,日本,草地,中山,2200,1,2,4岁以上,,资料补充：日本赛事原名,自动生成待核对,
procyon-stakes,プロキオンステークス,南河三锦标,Procyon Stakes,プロキオンS,日语,G2,g2,日本,泥地,中京,1800,1,2,4岁以上,,资料补充：日本赛事原名,自译待核对,
kyoto-kinen,京都記念,京都记念,Kyoto Kinen,京都记念,日语,G2,g2,日本,草地,京都,2200,2,1,4岁以上,,资料补充：日本赛事原名,现有中文,
nakayama-kinen,中山記念,中山记念,Nakayama Kinen,中山记念,日语,G2,g2,日本,草地,中山,1800,2,2,4岁以上,,资料补充：日本赛事原名,现有中文,
tulip-sho,チューリップ賞,郁金香赏,Tulip Sho,郁金香赏,日语,G2,g2,日本,草地,阪神,1600,3,1,3岁,牝马,资料补充：日本赛事原名,现有中文,
yayoi-sho,弥生賞,弥生赏,Yayoi Sho,弥生赏,日语,G2,g2,日本,草地,中山,2000,3,1,3岁,,资料补充：日本赛事原名,现有中文,
fillies-revue,フィリーズレビュー,报知杯雌马赛,Fillies Revue,报知杯雌马赛,日语,G2,g2,日本,草地,阪神,1400,3,1,3岁,牝马,资料补充：日本赛事原名,现有中文,
kinko-sho,金鯱賞,金鯱赏,Kinko Sho,金鯱赏,日语,G2,g2,日本,草地,中京,2000,3,1,4岁以上,,资料补充：日本赛事原名,现有中文,
spring-stakes,スプリングステークス,春季锦标,Spring Stakes,春季锦标,日语,G2,g2,日本,草地,中山,1800,3,2,3岁,,资料补充：日本赛事原名,现有中文,
hanshin-daishoten,阪神大賞典,阪神大赏典,Hanshin Daishoten,阪神大赏典,日语,G2,g2,日本,草地,阪神,3000,3,2,4岁以上,,资料补充：日本赛事原名,现有中文,
nikkei-sho,日経賞,日经赏,Nikkei Sho,日经赏,日语,G2,g2,日本,草地,中山,2500,3,2,4岁以上,,资料补充：日本赛事原名,现有中文,
new-zealand-trophy,ニュージーランドトロフィー,新西兰锦标,New Zealand Trophy,新西兰T,日语,G2,g2,日本,草地,中山,1600,4,1,3岁,,资料补充：日本赛事原名,自动规范化待核对,
hanshin-himba-stakes,阪神牝馬ステークス,阪神牝马锦标,Hanshin Himba Stakes,阪神牝马S,日语,G2,g2,日本,草地,阪神,1600,4,1,4岁以上,牝马,资料补充：日本赛事原名,自动规范化待核对,
flora-stakes,フローラステークス,花仙子锦标,Flora Stakes,花仙子S,日语,G2,g2,日本,草地,东京,2000,4,2,3岁,牝马,资料补充：日本赛事原名,自动规范化待核对,
yomiuri-milers-cup,読売マイラーズカップ,读卖杯,Yomiuri Milers Cup,读卖杯,日语,G2,g2,日本,草地,京都,1600,4,2,4岁以上,,资料补充：日本赛事原名,现有中文,
aoba-sho,青葉賞,青叶赏,Aoba Sho,青叶赏,日语,G2,g2,日本,草地,东京,2400,4,2,3岁,,资料补充：日本赛事原名,现有中文,
kyoto-shimbun-hai,京都新聞杯,京都新闻杯,Kyoto Shimbun Hai,京都新闻杯,日语,G2,g2,日本,草地,京都,2200,5,1,3岁,,资料补充：日本赛事原名,现有中文,
keio-hai-spring-cup,京王杯スプリングカップ,京王杯春季杯,Keio Hai Spring Cup,京王杯春季C,日语,G2,g2,日本,草地,东京,1400,5,1,4岁以上,,资料补充：日本赛事原名,自动规范化待核对,
meguro-kinen,目黒記念,目黑记念,Meguro Kinen,目黑记念,日语,G2,g2,日本,草地,东京,2500,5,2,4岁以上,,资料补充：日本赛事原名,现有中文,
sapporo-kinen,札幌記念,札幌记念,Sapporo Kinen,札幌记念,日语,G2,g2,日本,草地,札幌,2000,8,2,3岁以上,,资料补充：日本赛事原名,现有中文,
shion-stakes,紫苑ステークス,紫苑锦标,Shion Stakes,紫苑S,日语,G2,g2,日本,草地,中山,2000,9,1,3岁,牝马,资料补充：日本赛事原名,自动规范化待核对,
centaur-stakes,セントウルステークス,人马锦标,Centaur Stakes,人马S,日语,G2,g2,日本,草地,阪神,1200,9,1,3岁以上,,资料补充：日本赛事原名,自动规范化待核对,
rose-stakes,ローズステークス,玫瑰锦标,Rose Stakes,玫瑰S,日语,G2,g2,日本,草地,阪神,1800,9,2,3岁,牝马,资料补充：日本赛事原名,自动规范化待核对,
st-lite-kinen,セントライト記念,圣烈特记念,St Lite Kinen,圣烈特记念,日语,G2,g2,日本,草地,中山,2200,9,2,3岁,,资料补充：日本赛事原名,现有中文,
sankei-sho-all-comers,産経賞オールカマー,产经赏全来者锦标,Sankei Sho All Comers,产经赏All Comers,日语,G2,g2,日本,草地,中山,2200,9,2,3岁以上,,资料补充：日本赛事原名,自译待核对,
kobe-shimbun-hai,神戸新聞杯,神户新闻杯,Kobe Shimbun Hai,神户新闻杯,日语,G2,g2,日本,草地,阪神,2400,9,2,3岁,,资料补充：日本赛事原名,现有中文,
mainichi-okan,毎日王冠,每日王冠,Mainichi Okan,每日王冠,日语,G2,g2,日本,草地,东京,1800,10,1,3岁以上,,资料补充：日本赛事原名,现有中文,
kyoto-daishoten,京都大賞典,京都大赏典,Kyoto Daishoten,京都大赏典,日语,G2,g2,日本,草地,京都,2400,10,1,3岁以上,,资料补充：日本赛事原名,现有中文,
ireland-trophy,アイルランドトロフィー,爱尔兰锦标,Ireland Trophy,爱尔兰T,日语,G2,g2,日本,草地,东京,1800,10,1,3岁以上,牝马,资料补充：日本赛事原名,自动规范化待核对,
fuji-stakes,富士ステークス,富士锦标,Fuji Stakes,富士S,日语,G2,g2,日本,草地,东京,1600,10,2,3岁以上,,资料补充：日本赛事原名,自动规范化待核对,
swan-stakes,スワンステークス,天鹅锦标,Swan Stakes,天鹅S,日语,G2,g2,日本,草地,京都,1400,10,2,3岁以上,,资料补充：日本赛事原名,自动规范化待核对,
keio-hai-nisai-stakes,京王杯2歳ステークス,京王杯2岁锦标,Keio Hai Nisai Stakes,京王杯2岁S,日语,G2,g2,日本,草地,东京,1400,11,1,2岁,,资料补充：日本赛事原名,自动规范化待核对,
copa-republica-argentina,アルゼンチン共和国杯,阿根廷共和国杯,Copa Republica Argentina,阿根廷共和国杯,日语,G2,g2,日本,草地,东京,2500,11,1,3岁以上,,资料补充：日本赛事原名,现有中文,
daily-hai-nisai-stakes,デイリー杯2歳ステークス,每日杯2岁锦标,Daily Hai Nisai Stakes,每日杯2岁S,日语,G2,g2,日本,草地,京都,1600,11,1,2岁,,资料补充：日本赛事原名,自动规范化待核对,
tokyo-sports-hai,東京スポーツ杯2歳ステークス,东京体育杯两岁锦标,Tokyo Sports Hai,东京体育杯两岁S,日语,G2,g2,日本,草地,东京,1800,11,2,2岁,,资料补充：日本赛事原名,自动规范化待核对,
stayers-stakes,ステイヤーズステークス,长途马锦标,Stayers Stakes,长途马S,日语,G2,g2,日本,草地,中山,3600,12,1,3岁以上,,资料补充：日本赛事原名,自动规范化待核对,
hanshin-cup,阪神カップ,阪神杯,Hanshin Cup,阪神C,日语,G2,g2,日本,草地,阪神,1400,12,2,3岁以上,,资料补充：日本赛事原名,自动规范化待核对,
nakayama-kimpai,中山金杯,中山金杯,Nakayama Kimpai,中山金杯,日语,G3,g3,日本,草地,中山,2000,1,1,4岁以上,,资料补充：日本赛事原名,现有中文,
